Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u/50V/3025","C_CER_7.5x6.3",120.692000,-73.109800,180.000000,top
"C2","22u/50V/3025","C_CER_7.5x6.3",96.572000,-72.749800,0.000000,top
"C4","100n/50V/0603","C_0603_1608Metric",102.512000,-92.359800,180.000000,top
"C5","100n/50V/0603","C_0603_1608Metric",97.452000,-89.449800,180.000000,top
"C6","4.7u/50V/1206","C_1206_3216Metric",105.702000,-83.624800,180.000000,top
"C7","1u/50V/0603","C_0603_1608Metric",102.017000,-83.222300,90.000000,top
"C8","100n/50V/0603","C_0603_1608Metric",127.382000,-94.869800,180.000000,top
"C9","22u/25V/1210","C_1210_3225Metric",121.117000,-100.609800,180.000000,top
"C10","22u/25V/1210","C_1210_3225Metric",127.367000,-104.189800,0.000000,top
"C12","22u/25V/1210","C_1210_3225Metric",121.117000,-97.279800,180.000000,top
"C13","22u/25V/1210","C_1210_3225Metric",127.387000,-97.369800,0.000000,top
"C14","22u/25V/1210","C_1210_3225Metric",127.367000,-107.589800,0.000000,top
"C15","22u/25V/1210","C_1210_3225Metric",127.367000,-100.689800,0.000000,top
"C16","22u/25V/1210","C_1210_3225Metric",121.117000,-107.389800,180.000000,top
"C17","22u/25V/1210","C_1210_3225Metric",132.122000,-84.739800,90.000000,top
"C18","22u/25V/1210","C_1210_3225Metric",128.752000,-84.739800,90.000000,top
"C19","22u/25V/1210","C_1210_3225Metric",125.452000,-84.724800,90.000000,top
"C20","22u/50V/3025","C_CER_7.5x6.3",102.992000,-105.079800,0.000000,top
"C21","22u/50V/3025","C_CER_7.5x6.3",102.972000,-97.159800,0.000000,top
"C22","100n/50V/0603","C_0603_1608Metric",95.132000,-65.077300,180.000000,top
"C23","100n/50V/0603","C_0603_1608Metric",90.497000,-61.987300,180.000000,top
"C24","4.7u/50V/1206","C_1206_3216Metric",98.212000,-55.759800,180.000000,top
"C25","1u/50V/0603","C_0603_1608Metric",94.432000,-56.179800,90.000000,top
"C26","100n/50V/0603","C_0603_1608Metric",135.052000,-56.124800,-90.000000,top
"C27","22u/25V/1210","C_1210_3225Metric",118.962000,-62.839800,-90.000000,top
"C28","22u/25V/1210","C_1210_3225Metric",118.862000,-56.339800,90.000000,top
"C29","22u/25V/1210","C_1210_3225Metric",122.282000,-56.364800,90.000000,top
"C30","22u/25V/1210","C_1210_3225Metric",122.502000,-62.819800,-90.000000,top
"C31","22u/25V/1210","C_1210_3225Metric",125.682000,-56.289800,90.000000,top
"C32","22u/25V/1210","C_1210_3225Metric",129.112000,-56.309800,90.000000,top
"C33","22u/25V/1210","C_1210_3225Metric",132.562000,-56.339800,90.000000,top
"C34","100n/50V/0603","C_0603_1608Metric",150.282000,-63.909800,-90.000000,top
"C35","22u/25V/1210","C_1210_3225Metric",135.502000,-84.814800,90.000000,top
"C36","22u/25V/1210","C_1210_3225Metric",121.117000,-103.999800,180.000000,top
"J1","2165711003","MOLEX_2165711003",140.087000,-94.119800,90.000000,top
"L1","2.2u/22A","IND_SRP1265A-2R2M",116.012000,-88.269800,0.000000,top
"L2","2.2u/22A","IND_SRP1265A-2R2M",109.262000,-59.939800,0.000000,top
"R2","2.2R/0603","R_0603_1608Metric",97.452000,-90.989800,180.000000,top
"R4","100k/0603","R_0603_1608Metric",94.882000,-81.289800,180.000000,top
"R5","100k/0603","R_0603_1608Metric",94.157000,-84.169800,-90.000000,top
"R6","10k/0603/0.1%","R_0603_1608Metric",99.587000,-82.464800,180.000000,top
"R7","191K/0603/0.1%","R_0603_1608Metric",97.282000,-83.224800,-90.000000,top
"R8","100k/0603","R_0603_1608Metric",146.752000,-61.479800,0.000000,top
"R9","2.2R/0603","R_0603_1608Metric",90.507000,-63.527300,180.000000,top
"R10","200k/0603","R_0603_1608Metric",88.022000,-58.134800,90.000000,top
"R11","100k/0603","R_0603_1608Metric",87.232000,-55.309800,180.000000,top
"R12","100k/0603","R_0603_1608Metric",86.482000,-58.139800,-90.000000,top
"R13","10k/0603/0.1%","R_0603_1608Metric",92.072000,-55.779800,180.000000,top
"R14","73.2K/0603/0.1","R_0603_1608Metric",89.732000,-56.499800,-90.000000,top
"R15","2M/0603","R_0603_1608Metric",145.942000,-67.824800,-90.000000,top
"R16","51.1K/0603","R_0603_1608Metric",148.322000,-67.034800,180.000000,top
"R17","200k/0603","R_0603_1608Metric",95.667000,-84.169800,90.000000,top
"U1","SIC43x","VREG_SIC437AED-T1-GE3",102.547000,-88.624800,90.000000,top
"U2","SIC43x","VREG_SIC437AED-T1-GE3",95.197000,-61.094800,90.000000,top
"U3","TPS3711DDCR","TSOT-23-6",147.334500,-64.119800,0.000000,top
