Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Layer
C1,22u/50V/3025,C_CER_7.5x6.3,120.692,-73.1098,180,top
C2,22u/50V/3025,C_CER_7.5x6.3,96.572,-72.7498,0,top
C4,100n/50V/0603,C_0603_1608Metric,102.512,-92.3598,180,top
C5,100n/50V/0603,C_0603_1608Metric,97.452,-89.4498,180,top
C6,4.7u/50V/0805,C_0805_2012Metric,105.177,-83.6248,180,top
C7,1u/50V/0603,C_0603_1608Metric,102.017,-83.2223,90,top
C8,100n/50V/0603,C_0603_1608Metric,97.292,-86.2898,90,top
C9,22u/25V/1210,C_1210_3225Metric,116.052,-100.7998,-90,top
C10,22u/25V/1210,C_1210_3225Metric,129.772,-100.7998,-90,top
C11,100n/50V/0603,C_0603_1608Metric,124.052,-84.6248,-90,top
C12,22u/25V/1210,C_1210_3225Metric,113.552,-96.7498,180,top
C13,22u/25V/1210,C_1210_3225Metric,136.632,-100.7998,-90,top
C14,22u/25V/1210,C_1210_3225Metric,126.342,-100.7998,-90,top
C15,22u/25V/1210,C_1210_3225Metric,133.202,-100.7998,-90,top
C16,22u/25V/1210,C_1210_3225Metric,122.912,-100.7998,-90,top
C17,22u/25V/1210,C_1210_3225Metric,133.302,-84.6248,90,top
C18,22u/25V/1210,C_1210_3225Metric,129.952,-84.6248,90,top
C19,22u/25V/1210,C_1210_3225Metric,126.602,-84.6248,90,top
C20,22u/50V/3025,C_CER_7.5x6.3,102.992,-105.0798,0,top
C21,22u/50V/3025,C_CER_7.5x6.3,102.972,-97.1598,0,top
C22,100n/50V/0603,C_0603_1608Metric,99.232,-65.1923,180,top
C23,100n/50V/0603,C_0603_1608Metric,94.167,-62.8598,180,top
C24,4.7u/50V/0805,C_0805_2012Metric,101.787,-55.8748,180,top
C25,1u/50V/0603,C_0603_1608Metric,98.532,-56.2948,90,top
C26,100n/50V/0603,C_0603_1608Metric,93.822,-59.6398,90,top
C27,22u/25V/1210,C_1210_3225Metric,124.127,-63.6498,-90,top
C28,22u/25V/1210,C_1210_3225Metric,122.962,-56.4548,90,top
C29,22u/25V/1210,C_1210_3225Metric,126.382,-56.4798,90,top
C30,22u/25V/1210,C_1210_3225Metric,127.477,-63.6498,-90,top
C31,22u/25V/1210,C_1210_3225Metric,129.782,-56.4048,90,top
C32,22u/25V/1210,C_1210_3225Metric,133.212,-56.4248,90,top
C33,22u/25V/1210,C_1210_3225Metric,136.662,-56.4548,90,top
C34,100n/50V/0603,C_0603_1608Metric,148.592,-58.4698,-90,top
C35,22u/25V/1210,C_1210_3225Metric,136.652,-84.6248,90,top
C36,22u/25V/1210,C_1210_3225Metric,119.482,-100.7998,-90,top
C37,100n/50V/0603,C_0603_1608Metric,121.577,-63.7498,90,top
J2,1722861104,MOLEX_1722861104,139.427,-91.5498,0,top
L1,2.2u/22A,IND_SRP1265A-2R2M,115.812,-88.5248,0,top
L2,2.2u/22A,IND_SRP1265A-2R2M,113.362,-60.0548,0,top
R2,2.2R/0603,R_0603_1608Metric,97.452,-90.9898,180,top
R4,100k/0603,R_0603_1608Metric,94.882,-81.2898,180,top
R5,100k/0603,R_0603_1608Metric,94.157,-84.1698,-90,top
R6,10k/0603/0.1%,R_0603_1608Metric,99.587,-82.4648,180,top
R7,191K/0603/0.1%,R_0603_1608Metric,97.282,-83.2248,-90,top
R8,100k/0603,R_0603_1608Metric,145.062,-56.0398,0,top
R9,2.2R/0603,R_0603_1608Metric,94.177,-64.3998,180,top
R10,200k/0603,R_0603_1608Metric,92.122,-58.2498,90,top
R11,100k/0603,R_0603_1608Metric,91.332,-55.4248,180,top
R12,100k/0603,R_0603_1608Metric,90.582,-58.2548,-90,top
R13,10k/0603/0.1%,R_0603_1608Metric,96.172,-55.8948,180,top
R14,73.2K/0603/0.1,R_0603_1608Metric,93.832,-56.6148,-90,top
R15,2M/0603,R_0603_1608Metric,145.722,-61.9298,-90,top
R16,51.1K/0603,R_0603_1608Metric,148.032,-61.1898,180,top
R17,200k/0603,R_0603_1608Metric,95.667,-84.1698,90,top
U1,SIC437AED,VREG_SIC437AED-T1-GE3,102.547,-88.6248,90,top
U2,SIC437AED,VREG_SIC437AED-T1-GE3,99.297,-61.2098,90,top
U3,TPS3711DDCR,TSOT-23-6,145.6445,-58.6798,0,top
